month,collection_date,site,run_date,run,mass,SCP
November,11/25/2024,Winchester,12/2/2024,2,I,-27.77
November,11/19/2024,Roanoke,12/2/2024,2,L,-28.41
November,11/19/2024,Roanoke,12/2/2024,2,L,-27.58
November,11/19/2024,Roanoke,12/2/2024,2,L,-28.26
November,11/19/2024,Roanoke,12/2/2024,2,F,-27.17
November,11/19/2024,Roanoke,12/2/2024,2,G,-26.3
November,11/25/2024,Winchester,12/2/2024,2,H,-27.52
November,11/25/2024,Winchester,12/2/2024,2,I,-27.3
November,11/25/2024,Winchester,12/2/2024,2,F,-27.24
November,11/25/2024,Winchester,12/2/2024,2,G,-25.75
November,11/25/2024,Winchester,12/2/2024,2,H,-26.69
November,11/19/2024,Roanoke,12/2/2024,2,L,-25.73
November,11/19/2024,Roanoke,12/2/2024,2,H,-25.51
November,11/19/2024,Roanoke,12/2/2024,2,L,-26.91
November,11/19/2024,Roanoke,12/2/2024,2,F,-27.18
November,11/19/2024,Roanoke,12/2/2024,2,L,-26.31
November,11/19/2024,Roanoke,12/2/2024,2,G,-27.54
November,11/19/2024,Roanoke,12/2/2024,2,L,-27.45
November,11/19/2024,Roanoke,12/2/2024,2,H,-28.11
November,11/19/2024,Roanoke,12/2/2024,2,L,-24.25
November,11/19/2024,Roanoke,12/2/2024,2,F,-26.81
November,11/19/2024,Roanoke,12/2/2024,2,G,-26.75
November,11/19/2024,Roanoke,12/2/2024,2,H,-25.53
November,11/19/2024,Roanoke,12/2/2024,1,F,-28.18
November,11/19/2024,Roanoke,12/2/2024,1,G,-26.49
November,11/19/2024,Roanoke,12/2/2024,1,H,-22.62
November,11/19/2024,Roanoke,12/2/2024,1,F,-26.4
November,11/19/2024,Roanoke,12/2/2024,1,G,-25.98
November,11/19/2024,Roanoke,12/2/2024,1,F,-28.08
November,11/19/2024,Roanoke,12/2/2024,1,G,-27.21
November,11/19/2024,Roanoke,12/2/2024,1,H,-26.28
November,11/19/2024,Roanoke,12/2/2024,1,F,-28.23
November,11/19/2024,Roanoke,12/2/2024,1,H,-28.55
November,11/19/2024,Roanoke,12/2/2024,1,F,-26.56
November,11/19/2024,Roanoke,12/2/2024,1,G,-26.48
November,11/19/2024,Roanoke,12/2/2024,1,H,-28.19
November,11/19/2024,Roanoke,12/2/2024,1,H,-26.75
November,11/19/2024,Roanoke,12/2/2024,1,F,-28.45
November,11/19/2024,Roanoke,12/2/2024,1,G,-26.75
November,11/19/2024,Roanoke,12/2/2024,1,H,-27.01
November,11/25/2024,Winchester,12/2/2024,1,F,-28.48
November,11/25/2024,Winchester,12/2/2024,1,G,-27.28
November,11/25/2024,Winchester,12/2/2024,1,H,-27.63
November,11/25/2024,Winchester,12/2/2024,1,I,-28.06
November,11/25/2024,Winchester,12/2/2024,1,F,-26.55
November,11/25/2024,Winchester,12/2/2024,1,G,-29.64
November,11/25/2024,Winchester,12/2/2024,1,I,-24.41
November,11/25/2024,Winchester,12/2/2024,1,F,-26.7
November,11/25/2024,Winchester,12/2/2024,1,G,-19.69
November,11/25/2024,Winchester,12/2/2024,1,H,-25.57
November,11/25/2024,Winchester,12/2/2024,1,I,-25.8
November,11/25/2024,Winchester,12/2/2024,1,F,-28.14
November,11/25/2024,Winchester,12/2/2024,1,I,-27.26
November,11/25/2024,Winchester,12/2/2024,1,F,-25.69
November,11/25/2024,Winchester,12/2/2024,1,H,-26.06
November,11/25/2024,Winchester,12/2/2024,1,I,-27.84
November,11/25/2024,Winchester,12/2/2024,1,G,-26.74
November,11/25/2024,Winchester,12/2/2024,1,H,-27.09
November,11/25/2024,Winchester,12/2/2024,1,I,-27.71
November,11/25/2024,Winchester,12/2/2024,1,F,-27.97
November,11/25/2024,Winchester,12/2/2024,1,G,-27.96
November,11/25/2024,Winchester,12/2/2024,1,H,-27.89
December,12/9/2024,Milford,12/11/2024,1,S,-14.82
December,12/9/2024,Milford,12/11/2024,1,T,-28.23
December,12/9/2024,Milford,12/11/2024,1,U,-28.45
December,12/9/2024,Milford,12/11/2024,1,W,-27.67
December,12/9/2024,Milford,12/11/2024,1,T,-28.01
December,12/9/2024,Milford,12/11/2024,1,W,-28.23
December,12/9/2024,Milford,12/11/2024,1,S,-27.73
December,12/9/2024,Milford,12/11/2024,1,T,-27.06
December,12/9/2024,Milford,12/11/2024,1,U,-26.24
December,12/9/2024,Milford,12/11/2024,1,S,-26.93
December,12/9/2024,Milford,12/11/2024,1,U,-27.16
December,12/9/2024,Milford,12/11/2024,1,W,-28.15
December,12/9/2024,Milford,12/11/2024,1,S,-26.14
December,12/9/2024,Milford,12/11/2024,1,T,-27.42
December,12/9/2024,Milford,12/11/2024,1,U,-19.57
December,12/9/2024,Milford,12/11/2024,1,W,-26.97
December,12/9/2024,Milford,12/11/2024,1,T,-27.19
December,12/9/2024,Milford,12/11/2024,1,U,-27.76
December,12/9/2024,Milford,12/11/2024,1,W,-28.09
December,12/9/2024,Milford,12/11/2024,1,S,-27.18
December,12/9/2024,Milford,12/11/2024,1,T,-28.71
December,12/9/2024,Milford,12/11/2024,1,U,-27.65
December,12/9/2024,Milford,12/11/2024,2,S,-26.98
December,12/9/2024,Milford,12/11/2024,2,S,-26.3
December,12/9/2024,Milford,12/11/2024,2,S,-26.69
December,12/9/2024,Milford,12/11/2024,2,S,-26.69
December,12/9/2024,Milford,12/11/2024,2,S,-27.99
December,12/9/2024,Milford,12/11/2024,2,S,-26.54
December,12/9/2024,Milford,12/11/2024,2,T,-29.5
